crop,season,state,area,production,fertilizer,pesticide,avg_temp_c,total_rainfall_mm,avg_humidity_percent,N,P,K,pH
3,4,2,-0.18452310469815106,-0.06079593625787392,-0.19873396944569052,-0.18412352214824898,-0.2685046204565426,1.2233544190544716,1.1271972374742838,-0.8320053252064071,-1.3444893346786038,0.7311204474307307,-1.2217645642854071
12,3,12,-0.23306799089421537,-0.06301609891898889,-0.2424345292151857,-0.2158632333604981,0.11300219793084978,-1.1818927606389205,-0.22862368369723923,-0.23158537778868218,0.7374071960452155,-0.9141315629135668,0.3757190421522032
16,2,8,-0.18065497051322194,-0.06278032279018066,-0.17555494193136384,-0.15286318326624249,-0.09346031554938576,0.14749833137272378,-1.0112307405124619,2.670444368063655,1.2578813287261703,0.35144690658204664,1.8279768661863938
41,5,3,3.5091269721728553,-0.0477457269509366,3.655810954705932,1.8359676467990151,0.341906288963286,0.06499368994120262,-0.2652674923775508,0.4188695652471865,-0.30354106931669406,-0.9141315629135668,0.8113963893624601
32,2,3,-0.23839607207632027,-0.06301542913324804,-0.2487093242034941,-0.2222675462380783,0.6762857944910591,-1.1384776045946785,-1.3488772633524748,0.4188695652471865,-0.30354106931669406,-0.9141315629135668,0.8113963893624601
8,1,19,-0.23947487663249895,-0.0630189820771492,-0.25013083348084086,-0.22367296228186412,-1.255934032753323,0.2555767180069482,1.032097829232523,-1.0321453076789822,-1.517980712238922,0.478004753531608,-1.2217645642854071
1,1,14,0.15518295445228594,-0.06231177302036798,0.04155030918358485,0.11513964671408011,0.44064923019296354,-0.6880215932144754,-1.6385378462539844,-0.33165536902496967,0.5639158184848972,-1.5469207976613735,1.1018479541692985
53,1,12,-0.06350444493767805,-0.06282090641699532,-0.11533950614524156,-0.06656103623769424,-0.17424999473730407,-0.5263397493183275,0.391703648962318,-0.23158537778868218,0.7374071960452155,-0.9141315629135668,0.3757190421522032
41,3,12,-0.14249852379028646,-0.062200469257743855,-0.13402018972710816,-0.10699942579739331,0.11300219793084978,-1.1818927606389205,-0.22862368369723923,-0.23158537778868218,0.7374071960452155,-0.9141315629135668,0.3757190421522032
37,2,26,-0.2386967657667955,-0.06301709589891348,-0.2490415095914406,-0.2227095978200103,0.2723373985514669,0.4704025156886391,0.8270669949498285,-0.7319353339701197,-1.1709979571182854,0.35144690658204664,-1.0765387818819874
12,1,18,-0.2384817961547452,-0.06301159903662652,-0.24881793127598253,-0.2223705859254651,-0.4098865590353996,2.348615052920872,1.7483970417690877,-1.1322152989152696,-1.6047264010190812,0.2248890596324853,-1.3669903466888258
41,1,15,1.6667648611433525,-0.05380018971648828,1.2208167891356274,1.6748479977754567,0.6201818506105602,1.2685758991093135,0.40915308166722847,-0.08148039093425095,0.8241528848253746,-0.7875737159640054,0.6661706069590403
50,4,2,-0.23609998560650725,-0.06296760874095755,-0.24768610785168038,-0.22067308067554414,-0.3627592461757803,0.9915269927466962,0.93176359117929,-0.8320053252064071,-1.3444893346786038,0.7311204474307307,-1.2217645642854071
52,4,8,-0.23755861377170726,-0.06294159487867798,-0.247475679717232,-0.22110213340460577,-0.15405257494032448,-0.30701398655759815,-0.7826431720781385,2.670444368063655,1.2578813287261703,0.35144690658204664,1.8279768661863938
